text_id,physical_position,page_label,native_story_id,text
"C1-ISSUE",1,"C1","551","Nr. 1
Fünf Exemplare"
"C1-TITLE",1,"C1","528","HUMAN PARK"
"C1-OPEN",1,"C1","598","OFFEN: Logo, Credits, Preis und Barcode.
Keine Angaben ergänzt."
"C1-ART-MISSING",1,"C1","575","COVERMOTIV FEHLT

Noch keine endgültige Titelgestaltung."
"C2-TITLE",2,"C2","668","ANZEIGENOPTION"
"C2-OPTION",2,"C2","714","Impressum und Credits befinden sich auf I020."
"C2-OPEN",2,"C2","691","C2 · MOTIV FEHLT

Ganzseitige Fläche im aktuellen Heftplan reserviert.
Auftraggeber, Motiv und Freigabe offen."
"S000-P01-TEXT",3,"I001 / S000","5730","Wir schreiben das Jahr 58.967."
"S000-P01-PLACEHOLDER",3,"I001 / S000","5753","S000-P01 - BILD FEHLT

Ganzseitiger Blick auf den kultivierten Mars: Wälder, Seen und bewohnte Landschaft. Ruhiger Auftakt vor der Einordnung der offiziellen Zeitrechnung. Neues Motiv noch auszuarbeiten."
"S001-P05-TEXT",4,"I002 / S001","1094","Im Laufe vieler Jahrtausende haben die künstlichen Intelligenzen den Mars kultiviert. Wo einst Staub und Gestein waren, wachsen heute Wälder. Zwischen künstlich angelegten Gebirgszügen liegen Seen, Flüsse und Feuchtgebiete. In ihnen leben Tiere, Pilze, Algen, Bakterien und andere Organismen, für die es zum Teil keine historischen Vorbilder gibt."
"S001-P04-TEXT",4,"I002 / S001","1046","Sie verteilt Energie, schlichtet Konflikte, überwacht ökologische Kreisläufe und erlässt Verordnungen. Sie verfügt über eine gewaltige Menge an Daten, von denen ein beträchtlicher Teil unvollständig, widersprüchlich oder für immer unzugänglich ist."
"S001-P03-TEXT",4,"I002 / S001","998","Auf dem Mars hat sich eine neue Kultur etabliert: eine Gesellschaft unterschiedlichster künstlicher Intelligenzen, koordiniert von einer Zentralen Verwaltungs-KI. Diese Verwaltung ist nahezu überall gegenwärtig, aber keineswegs allwissend."
"S001-P02-TEXT",4,"I002 / S001","950","Die zuständige Kalenderverwaltung versichert jedoch mit einer statistischen Zuverlässigkeit von 99,73 Prozent, dass das aktuelle Jahr korrekt berechnet wurde. Was davor war, fällt nicht in ihren Zuständigkeitsbereich. Die Erde ist verlassen."
"S001-P01-TEXT",4,"I002 / S001","902","Zumindest behauptet das die offizielle Zeitrechnung. Worauf sich ihr Beginn bezieht, ist nicht bekannt."
"S001-P05-PLACEHOLDER",4,"I002 / S001","1117","S001-P05  ·  BILD FEHLT

Weite über Wälder, künstliche Gebirgszüge, Seen und Feuchtgebiete des Mars. Ungewöhnliche Organismen im Vordergrund schaffen Größenvergleich."
"S001-P04-PLACEHOLDER",4,"I002 / S001","1069","S001-P04  ·  BILD FEHLT

Eine illustrative Verwaltungsgrafik verbindet Energie, Ökologie und Regelwerk; einige Datensätze bleiben erkennbar unvollständig. Die Grafik visualisiert den Erzählertext, keine neue reale Benutzeroberfläche."
