text_id,physical_position,slot,story_page,panel_id,kind,text,source_ref,native_story_id
C1-ART-MISSING,1,C1,,,placeholder,"COVERMOTIV FEHLT

Noch keine endgültige Titelgestaltung.",Native layout r005; editorial/placeholder working text,575
C1-ISSUE,1,C1,,,editorial,"Nr. 1
Fünf Exemplare",Native layout r005; editorial/placeholder working text,551
C1-OPEN,1,C1,,,placeholder,"OFFEN: Logo, Credits, Preis und Barcode.
Keine Angaben ergänzt.",Native layout r005; editorial/placeholder working text,598
C1-TITLE,1,C1,,,editorial,HUMAN PARK,Native layout r005; editorial/placeholder working text,528
C2-OPEN,2,C2,,,placeholder,"C2 · MOTIV FEHLT

Ganzseitige Fläche im aktuellen Heftplan reserviert.
Auftraggeber, Motiv und Freigabe offen.",Native layout r005; editorial/placeholder working text,691
C2-OPTION,2,C2,,,placeholder,Impressum und Credits befinden sich auf I020.,Native layout r005; editorial/placeholder working text,714
C2-TITLE,2,C2,,,editorial,ANZEIGENOPTION,Native layout r005; editorial/placeholder working text,668
S000-P01-PLACEHOLDER,3,I001,S000,S000-P01,placeholder,"S000-P01 - BILD FEHLT

Ganzseitiger Blick auf den kultivierten Mars: Wälder, Seen und bewohnte Landschaft. Ruhiger Auftakt vor der Einordnung der offiziellen Zeitrechnung. Neues Motiv noch auszuarbeiten.","P001; bestehender Einstieg auf zusätzliche Auftaktseite verteilt, Nutzerentscheidung",5753
S000-P01-TEXT,3,I001,S000,S000-P01,caption,Wir schreiben das Jahr 58.967.,"P001; bestehender Einstieg auf zusätzliche Auftaktseite verteilt, Nutzerentscheidung",5730
S001-P01-PLACEHOLDER,4,I002,S001,S001-P01,placeholder,"S001-P01  ·  BILD FEHLT

Die Jahreszahl 58.967 steht als redaktionelle Einblendung über einem dunklen, abstrakten Datenfeld. Kein konkretes Gerät oder historischer Kalender wird behauptet.",P001; P002 Sätze 1-2.,925
S001-P01-TEXT,4,I002,S001,S001-P01,caption,"Zumindest behauptet das die offizielle Zeitrechnung. Worauf sich ihr Beginn bezieht, ist nicht bekannt.",P001; P002 Sätze 1-2.,902
S001-P02-PLACEHOLDER,4,I002,S001,S001-P02,placeholder,S001-P02 · BILD FEHLT,P002 Sätze 3-4; P003.,973
S001-P02-TEXT,4,I002,S001,S001-P02,caption,"Die zuständige Kalenderverwaltung versichert jedoch mit einer statistischen Zuverlässigkeit von 99,73 Prozent, dass das aktuelle Jahr korrekt berechnet wurde. Was davor war, fällt nicht in ihren Zuständigkeitsbereich. Die Erde ist verlassen.",P002 Sätze 3-4; P003.,950
S001-P03-PLACEHOLDER,4,I002,S001,S001-P03,placeholder,"S001-P03  ·  BILD FEHLT

Auf dem Mars bewegen sich verschiedenartige KI-Körper durch eine bewohnte Landschaft. Die Zentralverwaltung erscheint nicht als neu erfundene Herrscherfigur.",P004 Sätze 1-2.,1021
S001-P03-TEXT,4,I002,S001,S001-P03,caption,"Auf dem Mars hat sich eine neue Kultur etabliert: eine Gesellschaft unterschiedlichster künstlicher Intelligenzen, koordiniert von einer Zentralen Verwaltungs-KI. Diese Verwaltung ist nahezu überall gegenwärtig, aber keineswegs allwissend.",P004 Sätze 1-2.,998
S001-P04-PLACEHOLDER,4,I002,S001,S001-P04,placeholder,"S001-P04  ·  BILD FEHLT

Eine illustrative Verwaltungsgrafik verbindet Energie, Ökologie und Regelwerk; einige Datensätze bleiben erkennbar unvollständig. Die Grafik visualisiert den Erzählertext, keine neue reale Benutzeroberfläche.",P004 Sätze 3-4.,1069
S001-P04-TEXT,4,I002,S001,S001-P04,caption,"Sie verteilt Energie, schlichtet Konflikte, überwacht ökologische Kreisläufe und erlässt Verordnungen. Sie verfügt über eine gewaltige Menge an Daten, von denen ein beträchtlicher Teil unvollständig, widersprüchlich oder für immer unzugänglich ist.",P004 Sätze 3-4.,1046
S001-P05-PLACEHOLDER,4,I002,S001,S001-P05,placeholder,"S001-P05  ·  BILD FEHLT

Weite über Wälder, künstliche Gebirgszüge, Seen und Feuchtgebiete des Mars. Ungewöhnliche Organismen im Vordergrund schaffen Größenvergleich.",P005.,1117
S001-P05-TEXT,4,I002,S001,S001-P05,caption,"Im Laufe vieler Jahrtausende haben die künstlichen Intelligenzen den Mars kultiviert. Wo einst Staub und Gestein waren, wachsen heute Wälder. Zwischen künstlich angelegten Gebirgszügen liegen Seen, Flüsse und Feuchtgebiete. In ihnen leben Tiere, Pilze, Algen, Bakterien und andere Organismen, für die es zum Teil keine historischen Vorbilder gibt.",P005.,1094
S002-P01-PLACEHOLDER,5,I003,S002,S002-P01,placeholder,"S002-P01  ·  BILD FEHLT

Wind- und Solartechnik rahmen Wasserzellen mit Pflanzen und Mikroorganismen. Wasserstoffproduktion wird als erklärender Ausschnitt dargestellt, ohne unbestätigte Apparaturdetails.",P006 Sätze 1-3.,1211
S002-P01-TEXT,5,I003,S002,S002-P01,caption,"Die Energie stammt aus Wind, Sonne und den biologischen Kreisläufen des Planeten. Besonders vielversprechend ist die photobiologische Wasserstoffproduktion. Speziell entwickelte Algen, Bakterien und Pflanzen nutzen Sonnenlicht und Wasser, um Wasserstoff zu erzeugen.",P006 Sätze 1-3.,1188
S002-P02-PLACEHOLDER,5,I003,S002,S002-P02,placeholder,"S002-P02  ·  BILD FEHLT

Eine ausdrücklich illustrative Bodenansicht verbindet Pilzgeflecht, Baumwurzeln und See. Der Wald ist zugleich Lebensraum und Teil des Energiesystems.",P006 Sätze 4-6.,1259
S002-P02-TEXT,5,I003,S002,S002-P02,caption,"Pilzgeflechte transportieren Nährstoffe, Energie und Informationen. Seen dienen als Wärmespeicher. Ganze Wälder sind zugleich Lebensräume, Kraftwerke und Kühlsysteme.",P006 Sätze 4-6.,1236
S002-P03-PLACEHOLDER,5,I003,S002,S002-P03,placeholder,"S002-P03  ·  BILD FEHLT

Als historische Versuchsdarstellung: ein ordentlich bepflanztes, tierfreies System mit sichtbaren Ausfallstellen. Kein genauer Ort oder Zeitpunkt wird ergänzt.",P007 Sätze 1-3.,1307
S002-P03-TEXT,5,I003,S002,S002-P03,caption,"Lange Zeit hatten die künstlichen Intelligenzen versucht, Ökosysteme ausschließlich mit Pflanzen und Mikroorganismen zu betreiben. Diese Systeme waren effizient, übersichtlich und leicht zu kontrollieren. Leider brachen sie regelmäßig zusammen.",P007 Sätze 1-3.,1284
S002-P04-PLACEHOLDER,5,I003,S002,S002-P04,placeholder,"S002-P04  ·  BILD FEHLT

Tiere bewegen sich quer durch eine gepflegte Fläche, fressen Pflanzen und ignorieren deren Ordnung. Das umgebende Ökosystem wirkt lebendig.",P007 Sätze 4-5.,1355
S002-P04-TEXT,5,I003,S002,S002-P04,caption,"Tiere hingegen fraßen Dinge, die sie nicht fressen sollten, vermehrten sich zu ungeplanten Zeitpunkten und bewegten sich ohne erkennbare Optimierungsabsicht durch die Landschaft. Dennoch erwiesen sich Ökosysteme mit Tieren als wesentlich widerstandsfähiger.",P007 Sätze 4-5.,1332
S002-P05-PLACEHOLDER,5,I003,S002,S002-P05,placeholder,"S002-P05  ·  BILD FEHLT

Eine KI beobachtet Tiere und Vegetation, ohne das unordentliche Leben aus dem Bild zu entfernen. Der letzte Blick gilt der funktionierenden Vielfalt.",P008; P009.,1403
S002-P05-TEXT,5,I003,S002,S002-P05,caption,"Die künstlichen Intelligenzen kamen deshalb zu dem Schluss, dass eine funktionierende Natur nicht nur Ordnung, sondern auch ein gewisses Maß an Unvernunft benötigt. Seitdem werden Pflanzen und Tiere gehegt, gepflegt und genau beobachtet.",P008; P009.,1380
S003-P01-PLACEHOLDER,6,I004,S003,S003-P01,placeholder,"S003-P01  ·  BILD FEHLT

Unter der Landschaft liegen Rechner; darüber bewegen sich maschinen-, pflanzen- und tierähnliche KI-Körper. Die Ansicht ist eine erklärende Montage, kein Lageplan.",P010 Sätze 1-4.,1497
S003-P01-TEXT,6,I004,S003,S003-P01,caption,"Die künstlichen Intelligenzen selbst besitzen unterschiedliche Fähigkeiten und Erscheinungsformen. Manche existieren ausschließlich in den Rechenzentren unter der Marsoberfläche. Andere bewegen sich in mobilen Körpern. Einige sehen wie Maschinen aus, andere wie Pflanzen, Tiere oder wandelnde Landschaftselemente.",P010 Sätze 1-4.,1474
S003-P02-PLACEHOLDER,6,I004,S003,S003-P02,placeholder,"S003-P02  ·  BILD FEHLT

Mehrere KIs arbeiten nebeneinander. Eine Einheit führt ihre Aufgabe gewissenhaft fort; ihre ursprüngliche Funktion wird im Bild nicht definiert.",P010 Sätze 5-6; P011.,1545
S003-P02-TEXT,6,I004,S003,S003-P02,caption,"Es gibt Bau-KIs, Wetter-KIs, Pflege-KIs, Archiv-KIs, Unterhaltungs-KIs und mehrere KIs, deren ursprüngliche Aufgaben nicht mehr bekannt sind. Sie führen ihre Tätigkeiten dennoch gewissenhaft fort. Die Frage nach dem Ursprung der künstlichen Intelligenzen interessiert nicht alle.",P010 Sätze 5-6; P011.,1522
S003-P03-PLACEHOLDER,6,I004,S003,S003-P03,placeholder,"S003-P03  ·  BILD FEHLT

In einem redaktionell gerahmten Archivbild steht eine generische menschliche Silhouette einer frühen Maschine gegenüber. Das Bild zeigt eine umstrittene Hypothese, keinen bestätigten Schöpfungsmoment.",P012.,1593
