position,slot,story_page,panel_id,image_status,text_status,action,source,asset
3,I001,S000,S000-P01,BILD FEHLT,Originaltext; aus S001-P01 verschoben,"Ganzseitiger Blick auf den kultivierten Mars: Wälder, Seen und bewohnte Landschaft. Ruhiger Auftakt vor der Einordnung der offiziellen Zeitrechnung. Neues Motiv noch auszuarbeiten.","P001; bestehender Einstieg auf zusätzliche Auftaktseite verteilt, Nutzerentscheidung",
4,I002,S001,S001-P01,BILD FEHLT,Originaltext; Bearbeitung offen,"Die Jahreszahl 58.967 steht als redaktionelle Einblendung über einem dunklen, abstrakten Datenfeld. Kein konkretes Gerät oder historischer Kalender wird behauptet.",P001; P002 Sätze 1-2.,
4,I002,S001,S001-P02,BILD FEHLT,Originaltext; Bearbeitung offen,Die ferne Erde steht klein im Schwarz. Die amtliche Genauigkeit der Zeitrechnung kontrastiert mit der verlassenen Welt.,P002 Sätze 3-4; P003.,
4,I002,S001,S001-P03,BILD FEHLT,Originaltext; Bearbeitung offen,Auf dem Mars bewegen sich verschiedenartige KI-Körper durch eine bewohnte Landschaft. Die Zentralverwaltung erscheint nicht als neu erfundene Herrscherfigur.,P004 Sätze 1-2.,
4,I002,S001,S001-P04,BILD FEHLT,Originaltext; Bearbeitung offen,"Eine illustrative Verwaltungsgrafik verbindet Energie, Ökologie und Regelwerk; einige Datensätze bleiben erkennbar unvollständig. Die Grafik visualisiert den Erzählertext, keine neue reale Benutzeroberfläche.",P004 Sätze 3-4.,
4,I002,S001,S001-P05,BILD FEHLT,Originaltext; Bearbeitung offen,"Weite über Wälder, künstliche Gebirgszüge, Seen und Feuchtgebiete des Mars. Ungewöhnliche Organismen im Vordergrund schaffen Größenvergleich.",P005.,
5,I003,S002,S002-P01,BILD FEHLT,Originaltext; Bearbeitung offen,"Wind- und Solartechnik rahmen Wasserzellen mit Pflanzen und Mikroorganismen. Wasserstoffproduktion wird als erklärender Ausschnitt dargestellt, ohne unbestätigte Apparaturdetails.",P006 Sätze 1-3.,
5,I003,S002,S002-P02,BILD FEHLT,Originaltext; Bearbeitung offen,"Eine ausdrücklich illustrative Bodenansicht verbindet Pilzgeflecht, Baumwurzeln und See. Der Wald ist zugleich Lebensraum und Teil des Energiesystems.",P006 Sätze 4-6.,
5,I003,S002,S002-P03,BILD FEHLT,Originaltext; Bearbeitung offen,"Als historische Versuchsdarstellung: ein ordentlich bepflanztes, tierfreies System mit sichtbaren Ausfallstellen. Kein genauer Ort oder Zeitpunkt wird ergänzt.",P007 Sätze 1-3.,
5,I003,S002,S002-P04,BILD FEHLT,Originaltext; Bearbeitung offen,"Tiere bewegen sich quer durch eine gepflegte Fläche, fressen Pflanzen und ignorieren deren Ordnung. Das umgebende Ökosystem wirkt lebendig.",P007 Sätze 4-5.,
